"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035265","BP","GO:0035265","organ growth","9/272","84/12275",9.72268389058399e-05,0.00117189982752187,0.000729125593538656,"Myc/InR/Pdk1/kis/crb/ft/kibra/hid/Fbxl7",9
"GO:0009991","BP","GO:0009991","response to extracellular stimulus","13/272","169/12275",9.85128808355427e-05,0.00117899043668799,0.000733537186146989,"Myc/Imp/Crtc/InR/spin/Hsp68/GLaz/Atg8a/Rheb/Ras85D/HDAC4/hid/SNF4Agamma",13
"GO:0007422","BP","GO:0007422","peripheral nervous system development","8/272","66/12275",9.89726876159289e-05,0.00117899043668799,0.000733537186146989,"puc/dl/spen/Gli/cwo/mirr/Ras85D/mas",8
"GO:0010259","BP","GO:0010259","multicellular organism aging","13/272","170/12275",0.000104594667251801,0.0012387170766972,0.000770697548171163,"Hsp26/puc/miple2/bun/Sirt1/InR/Hsp68/cnc/GLaz/kis/Atg8a/Tpi/Ras85D",13
"GO:0001745","BP","GO:0001745","compound eye morphogenesis","19/272","323/12275",0.000106270577549101,0.00125128997958104,0.00077852008134541,"lola/Moe/cindr/bun/arm/rho/Mob2/mask/mirr/sd/Arf51F/AP-1sigma/crb/ft/shn/sty/kibra/Ras85D/hid",19
"GO:1901654","BP","GO:1901654","response to ketone","7/272","50/12275",0.000107352428036871,0.00125676376960406,0.000781925731133655,"Trf2/rpr/Sec13/Blimp-1/Eip75B/DOR/hid",7
"GO:0007015","BP","GO:0007015","actin filament organization","12/272","148/12275",0.000110475612080053,0.00128593612461182,0.000800076011695543,"jvl/cindr/Arp3/sick/Spn/mwh/Pak3/Arpc5/btsz/CG6891/Arpc3A/LamC",12
"GO:0019220","BP","GO:0019220","regulation of phosphate metabolic process","17/272","271/12275",0.000113518619999653,0.0013064261521994,0.000812824373949347,"Lk6/SkpA/kek1/puc/Mkp3/par-1/InR/sgg/Pvr/rho/ben/Alg-2/sty/CG17124/Gadd45/Ras85D/SNF4Agamma",17
"GO:0051174","BP","GO:0051174","regulation of phosphorus metabolic process","17/272","271/12275",0.000113518619999653,0.0013064261521994,0.000812824373949347,"Lk6/SkpA/kek1/puc/Mkp3/par-1/InR/sgg/Pvr/rho/ben/Alg-2/sty/CG17124/Gadd45/Ras85D/SNF4Agamma",17
"GO:0042692","BP","GO:0042692","muscle cell differentiation","11/272","127/12275",0.000118403537093057,0.00134982097810121,0.000839823505998946,"Arp3/InR/CanB2/mask/sd/Ldh/Arf51F/ens/Pak3/Tpi/sty",11
"GO:0071417","BP","GO:0071417","cellular response to organonitrogen compound","10/272","106/12275",0.000118614607304918,0.00134982097810121,0.000839823505998946,"SkpA/Myc/Roc1a/Sirt1/Crtc/InR/sgg/Pdk1/Rheb/HDAC4",10
"GO:0016331","BP","GO:0016331","morphogenesis of embryonic epithelium","11/272","128/12275",0.000127035108267914,0.00143761397523189,0.000894446025465313,"puc/Pvr/arm/rho/Myo10A/lwr/crb/shn/btsz/Ras85D/cbt",11
"GO:0031669","BP","GO:0031669","cellular response to nutrient levels","9/272","87/12275",0.000127858983283745,0.00143894336435906,0.000895273136805057,"Myc/InR/spin/GLaz/Atg8a/Ras85D/HDAC4/hid/SNF4Agamma",9
"GO:0044265","BP","GO:0044265","cellular macromolecule catabolic process","24/272","472/12275",0.000132592508073228,0.00148401614805036,0.000923316250550414,"Ubi-p63E/Ubi-p5E/Prosbeta4/SkpA/rpr/Prosalpha3/Pomp/Prosbeta1/Prosbeta3/Roc1a/Prosalpha4/CG40045/mbf1/sgg/AGO1/Prosalpha2/Prosbeta5/Rpt4/crb/Rpt3/Prosbeta2/Rpn8/Ubqn/Fbxl7",24
"GO:0001736","BP","GO:0001736","establishment of planar polarity","10/272","108/12275",0.000138710649755901,0.00153561735626506,0.000955421180240877,"lola/puc/spen/par-1/mwh/mirr/ft/btsz/sty/Ras85D",10
"GO:0007164","BP","GO:0007164","establishment of tissue polarity","10/272","108/12275",0.000138710649755901,0.00153561735626506,0.000955421180240877,"lola/puc/spen/par-1/mwh/mirr/ft/btsz/sty/Ras85D",10
"GO:0007568","BP","GO:0007568","aging","13/272","176/12275",0.000148352903835209,0.0016334857573639,0.0010163123540119,"Hsp26/puc/miple2/bun/Sirt1/InR/Hsp68/cnc/GLaz/kis/Atg8a/Tpi/Ras85D",13
"GO:0061564","BP","GO:0061564","axon development","20/272","360/12275",0.000152296942530327,0.00165195947891947,0.00102780622309332,"lola/Moe/Sema1a/Imp/Arp3/spen/sick/InR/wb/rho/ben/alpha-Spec/Psc/mirr/Pp1-87B/kis/AP-1sigma/kuz/Rheb/mas",20
"GO:0031668","BP","GO:0031668","cellular response to extracellular stimulus","9/272","89/12275",0.000152463614156534,0.00165195947891947,0.00102780622309332,"Myc/InR/spin/GLaz/Atg8a/Ras85D/HDAC4/hid/SNF4Agamma",9
"GO:0035152","BP","GO:0035152","regulation of tube architecture, open tracheal system","9/272","89/12275",0.000152463614156534,0.00165195947891947,0.00102780622309332,"CCT3/Moe/Mkp3/Blimp-1/rho/Gli/pasi1/ft/btsz",9
"GO:0060260","BP","GO:0060260","regulation of transcription initiation from RNA polymerase II promoter","5/272","24/12275",0.000154919191553371,0.00166089680628536,0.00103336679573551,"Sec13/Rbp1-like/Rpt4/Rpt3/SC35",5
"GO:2000142","BP","GO:2000142","regulation of DNA-templated transcription, initiation","5/272","24/12275",0.000154919191553371,0.00166089680628536,0.00103336679573551,"Sec13/Rbp1-like/Rpt4/Rpt3/SC35",5
"GO:0050807","BP","GO:0050807","regulation of synapse organization","12/272","154/12275",0.000161185700408114,0.0017145519361924,0.00106674962208389,"SkpA/Arp3/sgg/spin/Mob2/Rab2/alpha-Spec/Spn/plum/kis/Pak3/Rheb",12
"GO:1901699","BP","GO:1901699","cellular response to nitrogen compound","10/272","110/12275",0.000161607251717693,0.0017145519361924,0.00106674962208389,"SkpA/Myc/Roc1a/Sirt1/Crtc/InR/sgg/Pdk1/Rheb/HDAC4",10
"GO:0007391","BP","GO:0007391","dorsal closure","10/272","111/12275",0.000174199907014926,0.00183857622067049,0.00114391430622291,"puc/Pvr/arm/rho/Myo10A/lwr/crb/shn/Ras85D/cbt",10
"GO:0048598","BP","GO:0048598","embryonic morphogenesis","16/272","255/12275",0.000179716671850408,0.00188702505442929,0.00117405791051488,"puc/Gprk2/InR/RhoGAP71E/Pvr/arm/rho/scyl/Myo10A/lwr/crb/shn/btsz/Ras85D/hid/cbt",16
"GO:0007447","BP","GO:0007447","imaginal disc pattern formation","10/272","113/12275",0.000201874677565733,0.00210881393949435,0.00131204918644611,"spen/rho/CG14073/Su(Tpl)/crb/ft/shn/Ras85D/Fbxl7/cbt",10
"GO:0031401","BP","GO:0031401","positive regulation of protein modification process","12/272","158/12275",0.000205086845653908,0.00213143828876025,0.00132612546813805,"Lk6/rpr/stv/Su(var)205/InR/Pvr/ben/Ncoa6/Alg-2/dod/Gadd45/Ras85D",12
"GO:0014902","BP","GO:0014902","myotube differentiation","7/272","56/12275",0.000222596580493748,0.00227878966524328,0.00141780366222407,"Arp3/InR/Ldh/Arf51F/ens/Pak3/Tpi",7
"GO:1903827","BP","GO:1903827","regulation of cellular protein localization","7/272","56/12275",0.000222596580493748,0.00227878966524328,0.00141780366222407,"CG30423/sgg/tral/rho/Rab2/Arl1/crb",7
"GO:0030707","BP","GO:0030707","ovarian follicle cell development","19/272","342/12275",0.000222621081680615,0.00227878966524328,0.00141780366222407,"jvl/puc/cindr/bun/par-1/InR/sgg/Pvr/alpha-Spec/Gli/E2f1/mirr/Rpt4/kis/CCT1/kuz/sty/kibra/Ras85D",19
"GO:0032008","BP","GO:0032008","positive regulation of TOR signaling","6/272","40/12275",0.000228262208800723,0.00231328417575658,0.00143926524952119,"Sec13/InR/Pvr/E2f1/Rheb/Ras85D",6
"GO:1903429","BP","GO:1903429","regulation of cell maturation","6/272","40/12275",0.000228262208800723,0.00231328417575658,0.00143926524952119,"Roc1a/par-1/mago/InR/cnc/Syx1A",6
"GO:0002066","BP","GO:0002066","columnar/cuboidal epithelial cell development","19/272","343/12275",0.000231045912995053,0.00232990358797487,0.00144960541556042,"jvl/puc/cindr/bun/par-1/InR/sgg/Pvr/alpha-Spec/Gli/E2f1/mirr/Rpt4/kis/CCT1/kuz/sty/kibra/Ras85D",19
"GO:0048592","BP","GO:0048592","eye morphogenesis","19/272","344/12275",0.000239748820880249,0.00239396249084837,0.00148946119886388,"lola/Moe/cindr/bun/arm/rho/Mob2/mask/mirr/sd/Arf51F/AP-1sigma/crb/ft/shn/sty/kibra/Ras85D/hid",19
"GO:0090596","BP","GO:0090596","sensory organ morphogenesis","19/272","344/12275",0.000239748820880249,0.00239396249084837,0.00148946119886388,"lola/Moe/cindr/bun/arm/rho/Mob2/mask/mirr/sd/Arf51F/AP-1sigma/crb/ft/shn/sty/kibra/Ras85D/hid",19
"GO:0051049","BP","GO:0051049","regulation of transport","16/272","262/12275",0.000244548523005386,0.00242997727493645,0.00151186866083946,"Moe/Cnx99A/cindr/mgl/Gprk2/InR/sgg/tral/Lsd-2/rho/Prosap/Snx3/Syx1A/Arl1/crb/Fkbp59",16
"GO:0071496","BP","GO:0071496","cellular response to external stimulus","9/272","95/12275",0.000251116248897179,0.00248312523788133,0.00154493594109455,"Myc/InR/spin/GLaz/Atg8a/Ras85D/HDAC4/hid/SNF4Agamma",9
"GO:0030856","BP","GO:0030856","regulation of epithelial cell differentiation","6/272","41/12275",0.000262482838749539,0.00254608353587053,0.00158410695666389,"puc/par-1/Pvr/Gli/kis/kuz",6
"GO:0042386","BP","GO:0042386","hemocyte differentiation","6/272","41/12275",0.000262482838749539,0.00254608353587053,0.00158410695666389,"DnaJ-1/Cyt-b5/dl/lwr/sty/Ras85D",6
"GO:1903432","BP","GO:1903432","regulation of TORC1 signaling","6/272","41/12275",0.000262482838749539,0.00254608353587053,0.00158410695666389,"Sec13/InR/Pvr/E2f1/Rheb/Ras85D",6
"GO:1905881","BP","GO:1905881","positive regulation of oogenesis","6/272","41/12275",0.000262482838749539,0.00254608353587053,0.00158410695666389,"puc/Pvr/Gli/E2f1/kis/kuz",6
"GO:0000165","BP","GO:0000165","MAPK cascade","11/272","140/12275",0.000280163184923582,0.0027047033539779,0.00168279608205534,"SkpA/puc/Mkp3/InR/sgg/Pvr/ben/Alg-2/sty/Gadd45/Ras85D",11
"GO:0048488","BP","GO:0048488","synaptic vesicle endocytosis","6/272","42/12275",0.000300608945565528,0.00287483766252104,0.00178864922392338,"Arf102F/spin/Gli/Arl1/Arf51F/fwe",6
"GO:0140238","BP","GO:0140238","presynaptic endocytosis","6/272","42/12275",0.000300608945565528,0.00287483766252104,0.00178864922392338,"Arf102F/spin/Gli/Arl1/Arf51F/fwe",6
"GO:0001738","BP","GO:0001738","morphogenesis of a polarized epithelium","10/272","119/12275",0.000308000345258311,0.00289156309696361,0.0017990553542331,"lola/puc/spen/par-1/mwh/mirr/ft/btsz/sty/Ras85D",10
"GO:0001763","BP","GO:0001763","morphogenesis of a branching structure","7/272","59/12275",0.000309455451712355,0.00289156309696361,0.0017990553542331,"CCT3/Moe/Mkp3/arm/sty/Rheb/Ras85D",7
"GO:0048754","BP","GO:0048754","branching morphogenesis of an epithelial tube","7/272","59/12275",0.000309455451712355,0.00289156309696361,0.0017990553542331,"CCT3/Moe/Mkp3/arm/sty/Rheb/Ras85D",7
"GO:0060446","BP","GO:0060446","branching involved in open tracheal system development","7/272","59/12275",0.000309455451712355,0.00289156309696361,0.0017990553542331,"CCT3/Moe/Mkp3/arm/sty/Rheb/Ras85D",7
"GO:0061138","BP","GO:0061138","morphogenesis of a branching epithelium","7/272","59/12275",0.000309455451712355,0.00289156309696361,0.0017990553542331,"CCT3/Moe/Mkp3/arm/sty/Rheb/Ras85D",7
"GO:0051130","BP","GO:0051130","positive regulation of cellular component organization","17/272","295/12275",0.000311640698186762,0.0028986853982029,0.0018034866648251,"Su(var)205/Moe/cindr/Imp/Arp3/Fis1/Gprk2/sgg/Prosap/Rpt4/Ncoa6/Pak3/Rpt3/Arpc5/Rheb/Arpc3A/mas",17
"GO:0009954","BP","GO:0009954","proximal/distal pattern formation","5/272","28/12275",0.000333169515596218,0.00307088825008822,0.00191062680056131,"spen/rho/Gli/Ras85D/Fbxl7",5
"GO:0033157","BP","GO:0033157","regulation of intracellular protein transport","5/272","28/12275",0.000333169515596218,0.00307088825008822,0.00191062680056131,"sgg/tral/rho/Arl1/crb",5
"GO:0023014","BP","GO:0023014","signal transduction by protein phosphorylation","11/272","144/12275",0.000357421002604033,0.00327957919956944,0.00204046888162758,"SkpA/puc/Mkp3/InR/sgg/Pvr/ben/Alg-2/sty/Gadd45/Ras85D",11
"GO:0007548","BP","GO:0007548","sex differentiation","9/272","100/12275",0.000369298664829815,0.0033733694181988,0.00209882271633277,"lola/rpr/puc/InR/wb/Pvr/Pdk1/hid/ken",9
"GO:0007043","BP","GO:0007043","cell-cell junction assembly","7/272","61/12275",0.000381125057175293,0.00342005172452014,0.00212786723319755,"cindr/arm/Gli/pasi1/CG44325/crb/btsz",7
"GO:0007173","BP","GO:0007173","epidermal growth factor receptor signaling pathway","7/272","61/12275",0.000381125057175293,0.00342005172452014,0.00212786723319755,"kek1/Mkp3/spen/Gug/rho/sty/Ras85D",7
"GO:0033993","BP","GO:0033993","response to lipid","7/272","61/12275",0.000381125057175293,0.00342005172452014,0.00212786723319755,"Trf2/rpr/Sec13/Blimp-1/Eip75B/DOR/hid",7
"GO:0038127","BP","GO:0038127","ERBB signaling pathway","7/272","61/12275",0.000381125057175293,0.00342005172452014,0.00212786723319755,"kek1/Mkp3/spen/Gug/rho/sty/Ras85D",7
"GO:0035329","BP","GO:0035329","hippo signaling","6/272","44/12275",0.000389812256517424,0.00346745662238425,0.00215736132772686,"par-1/sd/crb/ft/kibra/Fbxl7",6
"GO:2000058","BP","GO:2000058","regulation of ubiquitin-dependent protein catabolic process","6/272","44/12275",0.000389812256517424,0.00346745662238425,0.00215736132772686,"SkpA/rpr/Pomp/Roc1a/sgg/crb",6
"GO:0036335","BP","GO:0036335","intestinal stem cell homeostasis","5/272","29/12275",0.000395360515801257,0.00350151900298765,0.00217855405503301,"bun/InR/Pvr/cnc/Ras85D",5
"GO:0019730","BP","GO:0019730","antimicrobial humoral response","10/272","123/12275",0.000401946794268096,0.00354443991309139,0.0022052583289988,"lola/dl/par-1/Gprk2/Pvr/mask/E2f1/lwr/Eip75B/kis",10
"GO:0002065","BP","GO:0002065","columnar/cuboidal epithelial cell differentiation","19/272","359/12275",0.000409321474507848,0.00359391311884692,0.00223603927090494,"jvl/puc/cindr/bun/par-1/InR/sgg/Pvr/alpha-Spec/Gli/E2f1/mirr/Rpt4/kis/CCT1/kuz/sty/kibra/Ras85D",19
"GO:0000226","BP","GO:0000226","microtubule cytoskeleton organization","19/272","361/12275",0.000438397148732573,0.00382727945496979,0.00238123373577429,"SkpA/jvl/Eb1/Moe/CCT6/par-1/mago/sgg/TBCB/tral/alpha-Spec/Prosbeta5/cnc/mgr/Pp1-87B/Wdr62/ens/ft/Non2",19
"GO:0031330","BP","GO:0031330","negative regulation of cellular catabolic process","6/272","45/12275",0.000441536903248847,0.00382727945496979,0.00238123373577429,"mbf1/InR/mask/crb/Rheb/Ras85D",6
"GO:0038202","BP","GO:0038202","TORC1 signaling","6/272","45/12275",0.000441536903248847,0.00382727945496979,0.00238123373577429,"Sec13/InR/Pvr/E2f1/Rheb/Ras85D",6
"GO:0009150","BP","GO:0009150","purine ribonucleotide metabolic process","11/272","149/12275",0.000478485632286407,0.00412997980070937,0.00256956601816607,"ATPsynG/ATPsynbeta/ATPsyngamma/ATPsynO/Cyt-c1/ATPsynB/Hex-A/Adk2/Scsalpha1/Eno/Tpi",11
"GO:0009267","BP","GO:0009267","cellular response to starvation","8/272","83/12275",0.00049159341564486,0.00422521429396025,0.00262881844297762,"InR/spin/GLaz/Atg8a/Ras85D/HDAC4/hid/SNF4Agamma",8
"GO:0043297","BP","GO:0043297","apical junction assembly","6/272","46/12275",0.000498461505266964,0.00424839366622931,0.0026432400455469,"arm/Gli/pasi1/CG44325/crb/btsz",6
"GO:0061077","BP","GO:0061077","chaperone-mediated protein folding","6/272","46/12275",0.000498461505266964,0.00424839366622931,0.0026432400455469,"Hsp26/DnaJ-1/Hsp68/Fkbp59/Hsp70Bc/Hsp23",6
"GO:0008284","BP","GO:0008284","positive regulation of cell population proliferation","8/272","84/12275",0.000533105686880546,0.00452473451739864,0.00281517213598324,"E(spl)mbeta-HLH/Moe/dl/bun/InR/Pvr/crb/Ras85D",8
"GO:0032006","BP","GO:0032006","regulation of TOR signaling","7/272","65/12275",0.000564138070855738,0.00474772297813338,0.0029539097566972,"Sec13/InR/Pvr/scyl/E2f1/Rheb/Ras85D",7
"GO:0035332","BP","GO:0035332","positive regulation of hippo signaling","4/272","18/12275",0.00056469293674818,0.00474772297813338,0.0029539097566972,"crb/ft/kibra/Fbxl7",4
"GO:0009953","BP","GO:0009953","dorsal/ventral pattern formation","11/272","152/12275",0.000566370487818562,0.00474772297813338,0.0029539097566972,"jvl/dl/tral/CG14073/Su(Tpl)/cnc/crb/shn/sty/Pkc98E/cbt",11
"GO:0008582","BP","GO:0008582","regulation of synaptic growth at neuromuscular junction","9/272","107/12275",0.00060857151964338,0.0050598374918921,0.0031480992895838,"SkpA/Arp3/sgg/spin/Mob2/alpha-Spec/plum/kis/Rheb",9
"GO:0014070","BP","GO:0014070","response to organic cyclic compound","9/272","107/12275",0.00060857151964338,0.0050598374918921,0.0031480992895838,"Trf2/rpr/Sec13/Blimp-1/Crtc/InR/Eip75B/DOR/hid",9
"GO:0048542","BP","GO:0048542","lymph gland development","7/272","66/12275",0.000619327184121478,0.00512833119534736,0.00319071429046752,"lola/Pvr/E2f1/lwr/kuz/sty/Ras85D",7
"GO:0030307","BP","GO:0030307","positive regulation of cell growth","6/272","48/12275",0.00062933325780635,0.00516916066996587,0.00321611732766912,"Myc/bun/InR/Pdk1/eIF4E1/Rheb",6
"GO:0036465","BP","GO:0036465","synaptic vesicle recycling","6/272","48/12275",0.00062933325780635,0.00516916066996587,0.00321611732766912,"Arf102F/spin/Gli/Arl1/Arf51F/fwe",6
"GO:0048872","BP","GO:0048872","homeostasis of number of cells","5/272","32/12275",0.000635034757432208,0.00519504337706589,0.00323222087486104,"bun/InR/Pvr/cnc/Ras85D",5
"GO:0008361","BP","GO:0008361","regulation of cell size","9/272","108/12275",0.000651286144178607,0.00530667950276729,0.00330167796880439,"Myc/Sema1a/InR/Pvr/Pdk1/kuz/btsz/Rheb/Ras85D",9
"GO:0030335","BP","GO:0030335","positive regulation of cell migration","6/272","49/12275",0.00070401946948561,0.00562337218389515,0.00349871591835763,"puc/Sema1a/Pvr/Gli/kis/kuz",6
"GO:0043902","BP","GO:0043902","positive regulation of multi-organism process","6/272","49/12275",0.00070401946948561,0.00562337218389515,0.00349871591835763,"puc/Pvr/Gli/E2f1/kis/kuz",6
"GO:1903050","BP","GO:1903050","regulation of proteolysis involved in cellular protein catabolic process","6/272","49/12275",0.00070401946948561,0.00562337218389515,0.00349871591835763,"SkpA/rpr/Pomp/Roc1a/sgg/crb",6
"GO:0006163","BP","GO:0006163","purine nucleotide metabolic process","11/272","156/12275",0.000704163202090692,0.00562337218389515,0.00349871591835763,"ATPsynG/ATPsynbeta/ATPsyngamma/ATPsynO/Cyt-c1/ATPsynB/Hex-A/Adk2/Scsalpha1/Eno/Tpi",11
"GO:0006914","BP","GO:0006914","autophagy","12/272","181/12275",0.000706717368226391,0.00562337218389515,0.00349871591835763,"Ubi-p63E/Myc/lft/Fis1/InR/mask/Atg8a/Rheb/Ras85D/DOR/hid/SNF4Agamma",12
"GO:0061919","BP","GO:0061919","process utilizing autophagic mechanism","12/272","181/12275",0.000706717368226391,0.00562337218389515,0.00349871591835763,"Ubi-p63E/Myc/lft/Fis1/InR/mask/Atg8a/Rheb/Ras85D/DOR/hid/SNF4Agamma",12
"GO:0009259","BP","GO:0009259","ribonucleotide metabolic process","11/272","157/12275",0.000742656384018728,0.00588634651457646,0.00366233170738705,"ATPsynG/ATPsynbeta/ATPsyngamma/ATPsynO/Cyt-c1/ATPsynB/Hex-A/Adk2/Scsalpha1/Eno/Tpi",11
"GO:0035166","BP","GO:0035166","post-embryonic hemopoiesis","6/272","50/12275",0.000785383156955893,0.00617693239659905,0.00384312668553097,"lola/Pvr/E2f1/lwr/sty/Ras85D",6
"GO:0035167","BP","GO:0035167","larval lymph gland hemopoiesis","6/272","50/12275",0.000785383156955893,0.00617693239659905,0.00384312668553097,"lola/Pvr/E2f1/lwr/sty/Ras85D",6
"GO:0040017","BP","GO:0040017","positive regulation of locomotion","7/272","69/12275",0.000811005855469508,0.00632957443521604,0.00393809659199551,"puc/Sema1a/Pvr/Gli/kis/kuz/Rheb",7
"GO:0090087","BP","GO:0090087","regulation of peptide transport","7/272","69/12275",0.000811005855469508,0.00632957443521604,0.00393809659199551,"InR/sgg/tral/rho/Snx3/Arl1/crb",7
"GO:1903688","BP","GO:1903688","positive regulation of border follicle cell migration","5/272","34/12275",0.000846357600125921,0.00658026882235305,0.00409407211953238,"puc/Pvr/Gli/kis/kuz",5
"GO:0050803","BP","GO:0050803","regulation of synapse structure or activity","12/272","185/12275",0.000856761795611014,0.00663583185421915,0.00412864199285836,"SkpA/Arp3/sgg/spin/Mob2/Rab2/alpha-Spec/Spn/plum/kis/Pak3/Rheb",12
"GO:0035293","BP","GO:0035293","chitin-based larval cuticle pattern formation","4/272","20/12275",0.000863435637811691,0.00663705054423553,0.00412940023009047,"Sec13/sgg/arm/SrpRbeta",4
"GO:0045610","BP","GO:0045610","regulation of hemocyte differentiation","4/272","20/12275",0.000863435637811691,0.00663705054423553,0.00412940023009047,"DnaJ-1/Cyt-b5/dl/lwr",4
"GO:0019693","BP","GO:0019693","ribose phosphate metabolic process","11/272","160/12275",0.000868775373145028,0.0066420020144502,0.00413248090607862,"ATPsynG/ATPsynbeta/ATPsyngamma/ATPsynO/Cyt-c1/ATPsynB/Hex-A/Adk2/Scsalpha1/Eno/Tpi",11
"GO:0007017","BP","GO:0007017","microtubule-based process","22/272","474/12275",0.000870601147696712,0.0066420020144502,0.00413248090607862,"Lk6/SkpA/jvl/Eb1/Moe/CCT6/robl/par-1/mago/sgg/TBCB/tral/Lsd-2/alpha-Spec/Prosbeta5/cnc/mgr/Pp1-87B/Wdr62/ens/ft/Non2",22
"GO:0007254","BP","GO:0007254","JNK cascade","7/272","70/12275",0.000884371189841892,0.00672188102129826,0.00418217954662073,"SkpA/puc/sgg/Pvr/ben/Alg-2/Gadd45",7
"GO:0000122","BP","GO:0000122","negative regulation of transcription by RNA polymerase II","13/272","212/12275",0.000890569939801788,0.00674383259247674,0.00419583724328449,"E(spl)mbeta-HLH/Blimp-1/dl/arm/Mnt/E2f1/CG32767/cwo/mirr/Eip75B/kis/shn/cbt",13
"GO:0051270","BP","GO:0051270","regulation of cellular component movement","9/272","113/12275",0.000903238758340667,0.00678928911712154,0.00422411911067067,"puc/Sema1a/Pvr/Gli/Arl1/kis/ens/kuz/Rheb",9
"GO:1904396","BP","GO:1904396","regulation of neuromuscular junction development","9/272","113/12275",0.000903238758340667,0.00678928911712154,0.00422411911067067,"SkpA/Arp3/sgg/spin/Mob2/alpha-Spec/plum/kis/Rheb",9
"GO:0006897","BP","GO:0006897","endocytosis","11/272","161/12275",0.000914565498615087,0.00684915412014313,0.00426136555856256,"Moe/cindr/Culd/Arf102F/mgl/Gprk2/spin/Gli/Arl1/Arf51F/fwe",11
"GO:0051129","BP","GO:0051129","negative regulation of cellular component organization","11/272","162/12275",0.000962336184553776,0.00708033081562129,0.00440519768597165,"SkpA/Sema1a/sgg/Mob2/alpha-Spec/mask/Spn/mwh/plum/e(y)3/lncRNA:roX2",11
"GO:0051272","BP","GO:0051272","positive regulation of cellular component movement","7/272","71/12275",0.000962872247897553,0.00708033081562129,0.00440519768597165,"puc/Sema1a/Pvr/Gli/kis/kuz/Rheb",7
"GO:0007417","BP","GO:0007417","central nervous system development","16/272","297/12275",0.000963582045078476,0.00708033081562129,0.00440519768597165,"rpr/bun/robl/mbf1/Pvr/spin/rho/alpha-Spec/Prosap/mask/E2f1/Psc/pasi1/kuz/mas/Dmtn",16
"GO:0035264","BP","GO:0035264","multicellular organism growth","6/272","52/12275",0.000969736312895169,0.00708033081562129,0.00440519768597165,"Myc/InR/Pdk1/btsz/Rheb/Ras85D",6
"GO:1903362","BP","GO:1903362","regulation of cellular protein catabolic process","6/272","52/12275",0.000969736312895169,0.00708033081562129,0.00440519768597165,"SkpA/rpr/Pomp/Roc1a/sgg/crb",6
"GO:0010634","BP","GO:0010634","positive regulation of epithelial cell migration","5/272","35/12275",0.000969765487264772,0.00708033081562129,0.00440519768597165,"puc/Pvr/Gli/kis/kuz",5
"GO:1903684","BP","GO:1903684","regulation of border follicle cell migration","5/272","35/12275",0.000969765487264772,0.00708033081562129,0.00440519768597165,"puc/Pvr/Gli/kis/kuz",5
"GO:0006979","BP","GO:0006979","response to oxidative stress","10/272","138/12275",0.000991427760183466,0.00721263695533471,0.00448751512504095,"puc/Crtc/InR/GstS1/ben/scyl/cnc/GLaz/Idh/Atox1",10
"GO:0042176","BP","GO:0042176","regulation of protein catabolic process","7/272","72/12275",0.00104675762391675,0.00758806149437157,0.00472109450906822,"Oda/SkpA/rpr/Pomp/Roc1a/sgg/crb",7
"GO:0000768","BP","GO:0000768","syncytium formation by plasma membrane fusion","6/272","53/12275",0.00107354688083755,0.00764620628065067,0.00475727068284288,"Arp3/InR/Ldh/Arf51F/Pak3/Tpi",6
"GO:0006949","BP","GO:0006949","syncytium formation","6/272","53/12275",0.00107354688083755,0.00764620628065067,0.00475727068284288,"Arp3/InR/Ldh/Arf51F/Pak3/Tpi",6
"GO:0007520","BP","GO:0007520","myoblast fusion","6/272","53/12275",0.00107354688083755,0.00764620628065067,0.00475727068284288,"Arp3/InR/Ldh/Arf51F/Pak3/Tpi",6
"GO:0140253","BP","GO:0140253","cell-cell fusion","6/272","53/12275",0.00107354688083755,0.00764620628065067,0.00475727068284288,"Arp3/InR/Ldh/Arf51F/Pak3/Tpi",6
"GO:2000147","BP","GO:2000147","positive regulation of cell motility","6/272","53/12275",0.00107354688083755,0.00764620628065067,0.00475727068284288,"puc/Sema1a/Pvr/Gli/kis/kuz",6
"GO:2000060","BP","GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process","5/272","36/12275",0.00110605763396774,0.00785031149962467,0.0048842596416547,"SkpA/rpr/Pomp/Roc1a/sgg",5
"GO:0031929","BP","GO:0031929","TOR signaling","7/272","73/12275",0.00113628168601031,0.00803682567501041,0.0050003039106594,"Sec13/InR/Pvr/scyl/E2f1/Rheb/Ras85D",7
"GO:0030588","BP","GO:0030588","pseudocleavage","3/272","10/12275",0.00115051528284825,0.00805360697993775,0.00501074480213165,"Eb1/Arp3/sgg",3
"GO:0030589","BP","GO:0030589","pseudocleavage involved in syncytial blastoderm formation","3/272","10/12275",0.00115051528284825,0.00805360697993775,0.00501074480213165,"Eb1/Arp3/sgg",3
"GO:0051897","BP","GO:0051897","positive regulation of protein kinase B signaling","3/272","10/12275",0.00115051528284825,0.00805360697993775,0.00501074480213165,"InR/Pvr/Pdk1",3
"GO:0006959","BP","GO:0006959","humoral immune response","10/272","141/12275",0.00116868221553937,0.00815275915429351,0.00507243470623434,"lola/dl/par-1/Gprk2/Pvr/mask/E2f1/lwr/Eip75B/kis",10
"GO:0030334","BP","GO:0030334","regulation of cell migration","7/272","74/12275",0.00123170445403267,0.00853395228865494,0.00530960316024109,"puc/Sema1a/Pvr/Gli/Arl1/kis/kuz",7
