Geneid,0h-T5-1,0h-T5-2,0h-T5-3,0h-T5-4,2h-T5-1,2h-T5-2,2h-T5-3,2h-T5-4,C-L3-T5-1,C-L3-T5-2,C-L3-T5-3,C-L3-T5-4
Papss,415,681,739,473,892,929,608,1471,1161,892,645,574
lncRNA:CR45433,0,0,0,0,0,0,0,0,0,3,0,0
Rab8,1536,1221,4274,822,3298,2653,2546,2934,981,992,1249,679
Usp32,1,31,0,16,45,20,18,0,3,0,0,39
Mi-2,458,97,540,115,164,178,207,211,454,597,334,225
Su(Tpl),331,363,1093,247,630,375,552,666,560,267,336,456
lncRNA:CR32218,36,29,133,76,116,62,52,109,115,82,90,245
asRNA:CR43889,9,45,172,11,94,13,31,83,98,76,30,103
Prp3,245,262,596,145,353,139,188,202,774,724,515,382
Mtr3,170,81,175,70,346,121,183,91,274,159,293,403
Rpn1,1996,2870,1944,1571,3776,2607,1560,4432,3759,3179,3758,1593
Su(z)12,3,161,45,36,72,41,3,46,356,9,36,25
Pfdn6,556,946,2215,541,1210,624,1273,1532,1305,777,2002,915
Grasp65,2154,1652,5072,1048,4057,4378,2838,3011,1389,1443,2687,1106
CG8004,302,251,576,105,369,272,580,306,308,321,292,274
RhoGDI,9007,9365,20633,5131,16771,9114,12084,13654,10849,8096,12359,8040
lncRNA:CR45678,0,0,0,0,0,0,0,0,0,0,0,0
Ac76E,12,15,0,0,126,23,33,14,0,0,2,23
CG32219,0,0,0,0,0,0,0,0,0,0,0,0
CG34258,0,0,0,0,0,0,0,0,0,0,0,0
CG33710,0,0,0,0,0,0,0,0,0,0,0,0
CG42655,0,0,0,0,0,0,0,0,0,0,0,0
CG42654,0,0,0,0,0,0,0,0,0,0,0,0
CG42263,0,0,0,0,0,0,0,0,0,0,0,0
CG14182,450,297,2134,263,982,550,548,852,478,374,389,521
CG17732,0,0,0,0,0,0,0,0,0,0,0,0
hale,0,0,0,0,0,0,0,0,0,0,0,0
schuy,0,0,0,0,0,0,0,0,0,0,0,0
Csas,0,0,0,0,0,0,0,0,0,0,0,0
fln,0,0,0,0,0,0,2,0,0,0,0,0
asRNA:CR45161,0,0,0,0,0,0,0,0,0,0,0,0
Nca,1905,1876,3605,848,1924,1348,2295,2989,3114,1915,2594,2694
CG7646,99,211,437,136,462,158,350,416,266,224,257,113
Gabat,96,59,1,24,38,62,9,117,50,284,98,12
Tom20,2152,2298,6331,1402,3410,1500,3049,3838,3927,2956,3881,3218
CG7668,1132,1581,2996,724,3162,1241,2245,2203,1070,699,1734,1008
kug,361,237,752,69,658,142,334,238,420,100,99,295
CG14183,0,0,0,0,0,0,0,0,0,85,0,0
CG14184,549,512,1963,301,961,664,1085,744,329,561,493,342
sNPF-R,0,0,0,0,0,0,0,0,0,0,0,0
CG14186,0,17,0,0,0,93,286,0,0,0,0,0
lncRNA:CR44679,0,0,0,0,0,0,0,0,0,0,0,0
CG14185,0,0,0,0,0,0,0,0,0,0,0,0
Ir76b,0,0,0,0,0,0,0,0,0,0,0,0
CG14187,0,0,0,0,0,0,0,0,0,0,0,0
CG7365,0,103,0,0,111,39,0,158,0,0,0,0
gig,69,17,2,1,21,9,0,0,0,0,55,6
obst-J,0,0,0,0,0,0,50,0,0,0,0,0
CG7335,0,0,0,0,0,0,0,0,0,0,0,0
CG7328,3,0,0,20,0,14,11,87,0,37,24,12
CG42674,72,261,224,168,272,145,226,210,309,209,207,403
lncRNA:CR45942,0,0,0,0,0,0,0,0,0,0,0,0
Ssk,4,6,0,2,2430,5,0,0,0,0,0,14
CG42833,0,0,0,0,0,0,0,0,0,0,0,0
obst-F,0,0,0,0,0,0,0,0,0,0,0,0
CG7298,0,0,0,0,0,0,0,0,0,0,0,0
CG7290,0,0,0,0,0,0,0,0,0,0,0,0
CG6996,0,0,0,0,0,0,0,0,0,0,0,0
asRNA:CR32224,0,0,0,0,0,0,0,0,0,0,0,0
CG7017,0,0,0,0,0,0,0,0,0,0,0,0
CG6933,0,0,0,0,0,0,0,0,0,0,0,0
CG17145,0,0,0,0,0,0,0,0,10,0,0,0
CG17147,0,0,0,0,0,0,0,0,0,0,0,0
Su(var)3-3,10,224,97,142,132,56,7,0,182,88,273,3
CG13813,0,4,0,0,0,350,540,97,0,0,0,0
CG17233,116,169,54,65,126,71,88,60,320,68,300,191
Clc,4768,4672,11801,2444,8126,5183,7627,7218,3411,3078,5367,2434
CG6951,186,125,668,43,190,166,112,269,248,179,523,266
rdgC,0,0,0,0,0,0,0,0,0,0,0,23
asRNA:CR43876,0,0,0,0,0,0,0,0,0,0,0,0
CG32228,0,0,0,0,0,0,0,0,0,0,0,0
gogo,0,0,0,0,0,0,8,0,0,0,0,0
CG17122,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43890,0,0,0,0,6,1,0,0,7,0,0,0
FRG1,475,426,1267,206,704,458,482,456,317,234,640,270
Pex23,27,19,24,0,81,17,0,10,2,19,93,203
asRNA:CR43872,0,0,0,0,0,0,0,0,0,0,0,0
SCCRO4,426,423,1099,251,654,517,836,968,437,495,668,515
CG32225,0,0,0,0,0,0,0,0,0,0,0,0
polo,0,140,513,47,1,23,36,48,1170,508,568,265
alphaSnap,1355,1249,3428,705,2819,1644,2109,2362,845,730,1834,1082
asRNA:CR43875,26,47,19,26,82,24,8,97,0,16,48,45
Spn77Ba,2162,2613,4042,1378,4006,2764,2410,2494,4494,3349,3311,3062
Spn77Bb,0,0,0,0,2,0,0,0,0,0,0,0
CR6434,2,0,0,0,1,0,3,3,0,1,0,0
Spn77Bc,91,0,0,0,48,0,0,0,0,0,0,0
CR45385,0,0,0,0,0,0,0,0,0,0,0,0
Rbbp5,163,197,702,49,186,201,423,349,357,96,346,411
eRF1,1956,3760,5932,1939,5404,3350,3848,3403,4491,2980,4078,3385
CG5618,14,29,0,0,253,56,145,109,129,75,75,222
kin17,326,162,284,99,269,166,193,277,299,208,274,301
CG5665,0,0,0,0,0,0,0,0,0,0,0,0
DNApol-alpha60,0,43,0,0,60,24,1,0,160,189,119,0
Toll-9,0,0,0,0,0,0,0,0,0,0,0,0
in,0,189,1,17,0,13,80,178,302,118,164,0
CG13247,3,0,0,0,0,0,0,0,0,0,0,0
Ide,523,444,713,166,496,206,395,286,534,881,719,76
RhoBTB,356,244,592,190,925,500,243,76,640,24,672,731
CG5498,284,406,959,113,400,234,209,222,495,394,299,580
fbl,202,162,212,94,314,229,116,260,180,184,211,319
asRNA:CR43944,0,0,0,0,0,0,0,0,0,0,0,0
CG33969,389,150,787,233,437,320,638,215,612,423,495,338
lncRNA:CR45677,0,0,0,0,0,0,0,0,0,0,0,0
trbl,87,235,83,142,90,153,10,36,81,300,33,101
lncRNA:CR45973,0,71,0,2,0,0,19,0,0,0,0,0
CG13248,0,0,0,0,0,0,0,0,102,0,0,0
zye,0,2,0,0,0,0,0,0,32,0,88,0
CG5282,0,0,0,0,0,0,0,0,0,0,0,0
CG5274,6,132,54,78,100,57,120,42,347,189,30,213
CG5262,65,196,243,29,354,137,107,213,147,9,121,372
Las,78,32,173,43,212,71,75,25,237,65,75,235
Psn,1218,1207,3527,685,2252,1553,1183,2020,1867,1252,1744,1853
mRpL15,89,132,332,168,188,137,114,98,385,224,249,200
CtIP,123,39,0,35,68,32,38,16,142,66,130,129
Hpd,0,0,0,0,0,6,0,0,0,0,0,0
lncRNA:CR45176,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43943,0,0,0,0,0,0,0,0,0,0,0,0
CG5910,133,139,302,52,229,165,55,190,0,0,37,1
CG5199,43,74,43,65,76,143,57,233,62,226,9,139
Uhg8,102,123,730,66,24,38,55,191,167,96,190,184
snoRNA:Or-CD11,5,0,0,0,0,0,18,0,4,0,0,8
snoRNA:Me18S-U1356a,4,4,16,3,0,0,2,0,5,0,0,14
snoRNA:Me18S-U1356b,1,0,8,0,0,0,1,0,1,0,0,7
snoRNA:Me18S-U1356c,1,0,17,0,0,0,1,0,1,0,0,0
atk,0,0,0,0,0,0,0,0,0,69,0,0
mag,0,0,0,0,0,0,0,0,0,0,0,0
CG42764,0,0,0,0,0,0,0,0,0,0,0,0
CG5955,0,0,0,0,0,0,0,0,0,0,0,0
CG32428,767,486,1608,238,981,385,992,542,1456,700,1042,853
CG5969,470,531,3003,429,962,914,1157,1309,619,340,726,578
isoQC,723,587,2347,202,1314,676,848,926,117,131,412,216
ZnT77C,95,101,68,71,29,78,80,87,177,0,241,256
ND-39,2213,1400,6749,989,4057,2272,2863,2121,3726,3398,4865,2585
CG32425,15,145,37,26,219,52,190,161,396,178,533,452
CG18281,0,1,0,0,0,0,0,0,0,0,0,0
CG17637,0,0,0,0,0,0,0,0,0,0,0,0
CG5078,0,0,0,0,0,0,0,0,0,0,0,0
CG5059,376,865,1599,110,2590,745,399,980,435,334,502,2534
mTerf3,165,187,30,42,159,80,233,93,55,169,101,106
CG5104,1235,1064,2428,591,1956,1288,2301,1930,1013,465,1131,1134
CG4825,225,326,957,228,952,574,390,489,900,791,895,288
CG4858,689,947,2970,433,1124,937,1428,1572,1127,426,1542,626
Rcd2,0,0,7,0,105,3,0,0,0,0,0,0
CG13250,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:TS3,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR46326,0,0,0,0,0,0,0,0,0,0,0,0
knrl,725,558,1122,549,1340,827,997,907,986,476,955,1207
lncRNA:CR44684,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44683,0,0,0,0,0,0,0,0,0,0,0,21
lncRNA:CR44680,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44681,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44682,0,0,0,0,0,0,0,0,0,0,0,0
CG13251,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44685,0,0,0,0,0,0,0,0,0,0,0,0
kni,315,212,863,343,478,680,699,659,1375,1291,1834,720
cmpy,0,0,0,0,0,0,0,0,0,0,0,6
CG34260,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43945,0,0,0,0,0,0,0,0,0,0,0,0
CG13252,2586,2061,1946,747,2915,2641,2423,2407,135,167,168,200
Gr77a,0,53,0,0,0,0,0,0,0,0,0,0
CG33912,0,0,0,0,0,0,0,0,0,0,0,0
CG43251,0,0,0,0,0,0,0,0,0,0,0,0
CG4074,171,67,312,90,403,227,304,193,175,263,181,148
CG4186,163,132,280,59,149,63,169,142,166,137,186,27
CG4042,43,102,501,26,153,87,44,0,170,199,222,268
Pitslre,383,400,941,176,619,290,269,432,330,158,397,262
Pex16,158,237,541,104,447,327,162,323,664,216,498,172
Pex14,461,514,1059,314,903,644,905,731,917,1077,882,369
CG11399,9,245,5,41,0,63,167,64,274,0,183,6
CG11396,449,227,1151,51,459,334,214,253,278,212,378,75
Six4,1,35,138,89,50,22,3,69,0,14,0,0
lncRNA:CR43705,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43706,0,0,0,0,0,0,0,0,0,0,0,0
CG3698,0,0,0,0,0,0,0,0,0,0,0,0
tzn,539,431,2074,155,1136,451,866,1093,1147,571,1017,1057
Spc105R,0,6,117,15,0,9,0,0,2,117,46,52
CG3634,210,310,499,125,231,250,238,257,256,357,424,33
HIPP1,704,899,1670,439,952,546,528,432,1119,903,976,729
CG3618,0,0,0,0,0,0,0,0,0,0,0,0
Pka-R1,257,663,450,241,575,420,409,648,273,469,752,400
Mst77F,29,0,0,0,0,0,0,0,0,9,0,0
asRNA:CR45384,0,0,0,0,0,0,0,0,0,0,0,0
CG3288,0,0,0,0,0,0,0,0,0,0,0,0
CG13255,12,2,0,0,0,2,0,10,0,56,17,21
asRNA:CR45943,0,0,0,0,0,0,0,0,0,0,0,0
CSN3,375,750,719,289,855,610,834,913,535,524,950,382
CG11456,48,194,0,31,232,44,0,138,143,86,47,65
CG32432,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44686,0,0,0,0,0,0,0,0,0,0,0,0
Sfp77F,0,0,0,0,0,0,0,0,0,0,0,0
CG43931,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45383,0,0,0,0,0,0,0,0,0,0,0,0
CG11458,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45733,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43930,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45734,35,0,0,0,0,1,19,9,0,0,0,7
lncRNA:CR43929,0,4,0,0,11,1,0,0,0,0,0,0
fng,61,129,287,117,533,344,141,145,76,136,164,199
CG10589,0,0,0,0,0,0,0,0,0,4,0,0
lncRNA:CR45243,0,10,0,0,0,3,0,10,0,0,7,35
Sems,0,0,0,0,0,0,0,0,0,0,0,0
CG10588,0,0,0,0,0,7,0,0,0,0,0,0
CG11037,0,0,0,0,0,0,0,0,0,0,0,0
CG10587,0,0,0,1,0,0,0,5,0,0,0,0
CG12983,0,0,0,0,0,0,0,0,0,0,0,0
CG33287,0,0,0,0,0,0,0,0,0,0,0,0
CG33286,0,0,0,0,0,0,0,0,0,0,0,0
CR33283,0,0,0,0,0,0,0,0,0,0,0,0
CG12984,0,0,0,0,0,0,0,0,0,0,0,0
skd,222,98,414,108,381,121,233,128,376,405,90,245
asRNA:CR45944,0,0,0,0,0,0,0,0,4,0,0,0
scaRNA:PsiU6-40,0,0,0,0,0,0,0,0,0,0,0,0
Pdss2,26,44,174,1,81,57,2,1,202,225,129,49
asRNA:CR45801,0,0,0,0,0,0,0,0,0,0,0,0
CG10584,84,126,717,72,126,109,49,120,297,251,176,133
Sin,507,411,1798,411,937,382,397,731,541,721,768,422
CG10581,0,11,0,10,0,0,0,0,0,0,1,0
siz,35,344,394,96,282,80,191,170,324,0,4,245
CG43072,0,0,0,0,0,0,0,0,0,0,0,0
ko,0,132,52,0,283,9,8,0,81,0,53,123
CG33285,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45945,0,0,0,0,0,0,0,0,0,0,0,0
CG43938,0,0,0,0,0,0,0,0,0,0,0,0
CG33284,0,0,0,0,0,0,0,0,0,0,0,0
ICA69,0,10,0,0,0,0,0,0,0,0,0,99
CG10565,414,660,1453,524,582,521,455,485,1671,2511,2307,1029
Ac78C,0,0,0,0,3,0,0,0,0,0,0,13
chb,50,203,176,198,146,85,168,98,18,294,84,226
AsnS,117,429,536,132,74,31,185,79,57,1,0,3
CG42337,10,11,0,0,0,0,0,0,0,0,0,0
asRNA:CR45951,0,0,0,0,0,0,0,0,0,0,0,0
park,31,30,41,2,27,6,21,12,7,0,35,14
CG34261,0,25,0,9,8,20,35,7,68,0,77,33
CG33054,10,45,36,18,96,41,49,9,61,15,86,13
CG33056,3,263,124,33,461,123,436,165,91,121,252,124
CG10512,23,13,0,15,30,11,0,1,40,0,68,397
CG10510,0,0,0,0,0,0,0,0,0,0,0,0
CG10508,0,0,0,0,0,0,0,0,5,0,0,0
CG12975,192,188,605,99,210,183,193,281,511,693,992,346
Ilk,895,712,1526,414,1321,612,881,1077,684,561,1059,555
CG43219,0,0,0,0,0,0,0,0,0,0,0,0
Eip78C,126,60,107,4,280,54,259,214,0,0,16,110
CG43218,0,0,0,0,0,0,0,0,0,0,0,0
CG9391,553,551,908,153,602,365,413,319,548,385,625,496
CG9389,0,0,0,0,0,0,0,0,12,0,0,0
asRNA:CR45162,0,0,0,0,0,0,0,0,0,0,0,0
AcCoAS,5,157,154,86,208,104,153,73,191,303,345,4487
ppl,281,101,791,128,175,146,196,141,315,287,374,361
CG12974,0,0,0,0,775,7,0,0,0,0,9,0
pzg,378,556,210,195,331,228,217,111,1008,1131,808,575
Cpr78Ca,557,385,22,106,1251,685,396,948,431,219,263,239
Cpr78Cb,0,0,0,0,0,4,0,0,0,0,0,0
Edg78E,0,0,0,0,5,0,0,0,31,33,27,3
CG43702,0,0,0,0,0,0,0,0,0,0,0,50
Cpr78Cc,0,0,0,0,0,0,0,0,14,55,2,7
lncRNA:CR45432,0,0,0,0,0,0,0,0,0,0,0,0
CG11309,1,8,25,9,67,8,11,13,62,14,30,48
asRNA:CR45952,0,0,0,0,0,0,0,0,0,0,0,0
CG7632,101,239,128,141,217,267,333,175,165,235,530,327
Pc,362,48,414,83,820,228,388,300,252,300,165,59
lncRNA:CR45674,0,0,0,0,0,0,0,0,0,0,0,0
Rab26,0,0,0,0,0,0,0,0,0,0,0,0
asRNA:CR46068,0,0,0,0,0,0,0,0,0,0,0,0
Tsr1,109,455,659,115,229,230,37,73,1044,1341,943,421
CG7324,205,469,305,37,123,189,244,120,632,171,307,366
CG32436,0,0,0,0,0,0,0,0,0,0,0,0
ebd2,0,118,0,58,105,88,173,0,21,47,0,0
CG12971,0,6,0,0,47,0,0,0,0,0,0,0
CG32437,0,0,0,0,0,0,0,0,0,0,0,0
CG32440,0,0,0,0,0,0,0,0,0,0,0,0
rgn,291,275,394,38,399,336,359,306,269,490,405,357
lncRNA:CR45953,0,0,0,0,0,0,0,0,0,0,0,0
sa,0,0,0,0,0,0,0,0,3,0,37,0
lncRNA:CR45954,0,0,0,0,0,0,0,0,0,0,0,0
barc,143,498,665,250,405,341,262,211,520,614,696,594
CG33288,0,0,0,0,2,0,0,0,0,0,0,0
Aef1,460,544,1225,142,938,723,544,1015,1001,417,573,707
CG5664,0,126,19,47,198,31,51,0,245,28,408,1
Alp1,0,0,0,0,0,0,0,0,0,90,0,25
Syx7,263,578,1090,346,1100,776,491,689,825,445,719,866
croc,0,0,0,0,0,0,0,0,0,0,0,0
Neu2,0,3,33,5,7,6,0,11,86,14,25,64
CG7202,0,0,0,0,43,0,0,0,0,0,0,0
CG7519,370,556,1211,305,597,319,463,510,1070,638,1292,526
Hr78,1252,774,1599,467,1796,995,1001,1503,1295,1054,1413,842
asRNA:CR43933,1,6,7,0,7,8,12,8,5,8,3,1
Glg1,126,500,273,280,155,400,191,510,1121,1069,843,569
Est-Q,0,0,0,0,0,0,0,0,31,0,0,0
M6,826,1158,2307,501,1474,1273,1761,1561,900,1285,1094,883
SAK,139,92,24,44,87,83,453,24,158,489,34,6
Cdk12,179,206,555,160,475,156,293,225,735,256,242,48
CG7611,300,763,439,173,995,649,229,189,520,1273,425,531
Arv1,140,79,145,35,90,68,81,84,79,35,43,72
asRNA:CR43877,0,0,0,0,0,0,0,0,0,0,0,0
Mkrn1,1555,1131,5003,895,5165,2237,1330,2711,1308,2037,2942,849
ppk5,0,0,0,0,0,0,0,0,0,0,0,0
Rpn10,8528,4443,16970,3314,15519,9060,9624,8674,4757,3849,6089,2492
COX8,1390,1534,6170,1188,2110,1981,1977,2395,3438,1904,2954,1990
VhaM9.7-b,723,1013,3264,554,1680,1042,1631,1946,1799,1211,2181,1399
CG33290,0,0,0,0,0,0,0,0,0,0,0,0
Wnk,70,207,432,80,464,155,153,189,67,12,316,255
CG7173,0,0,0,0,13,0,0,0,0,0,0,0
CapaR,0,0,0,0,0,0,0,0,0,0,0,0
CG7634,0,0,0,0,0,0,0,0,0,0,0,0
CRIF,226,270,690,120,380,253,374,310,522,410,637,397
SMC5,28,112,262,71,184,25,28,0,223,641,311,235
mir-193,0,0,0,0,0,0,0,0,0,0,0,0
CG32441,1094,842,2446,365,1349,749,1297,1018,934,841,937,945
lncRNA:CR43939,0,0,0,0,0,0,0,0,0,0,0,0
hpRNA:CR46340,0,0,0,0,0,0,0,0,0,0,0,0
TfAP-2,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43940,0,0,0,0,0,0,0,0,0,0,0,0
S1P,1,2,105,0,0,67,0,35,42,11,0,15
CG11307,130,133,201,47,22,108,103,42,195,303,64,0
CG7166,0,0,0,0,0,0,0,0,0,0,0,0
Alg11,1461,1909,4816,1064,2944,2299,3058,3595,3033,2069,2487,1711
MED1,133,447,328,162,269,203,96,243,770,274,323,600
ORMDL,263,176,838,133,318,179,556,528,467,261,287,375
asRNA:CR45955,0,0,0,0,0,0,0,0,0,0,0,0
CG32444,0,0,0,0,11,8,0,5,0,0,0,0
CG32445,0,0,0,0,0,0,0,0,0,0,0,0
Atox1,2739,2565,9382,1524,4619,2241,4432,4165,1783,901,1745,1560
lncRNA:CR45956,0,0,0,0,0,0,0,0,0,0,0,0
CG43980,3,0,81,5,30,9,90,19,0,0,57,0
Cpr78E,23,148,0,0,427,95,46,136,447,224,180,199
lncRNA:CR43977,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45920,0,0,0,0,0,0,0,0,0,0,0,0
mir-316,0,0,0,0,0,0,0,0,0,0,0,0
CG11249,0,0,0,0,0,0,0,0,0,0,0,0
Als2,140,3,483,42,0,2,3,1,0,12,0,22
asRNA:CR43979,0,0,0,0,0,0,0,0,0,0,0,0
CG11248,118,162,475,0,36,23,51,0,57,95,0,4
Sfp78E,0,0,0,0,0,1,0,0,0,0,0,0
lncRNA:CR43978,0,16,0,0,0,0,0,0,0,0,0,0
CG32447,60,475,2127,362,178,169,147,300,1042,647,1280,174
CG11247,96,230,405,18,105,86,80,370,236,0,240,299
Rpb8,315,499,1076,244,460,495,639,310,526,618,884,636
CG14570,10,15,49,0,0,3,0,0,23,7,118,0
CG14569,0,0,0,6,0,3,0,0,25,171,65,55
CG14568,0,0,0,0,0,0,0,0,0,0,0,0
CG14573,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43888,0,0,0,0,0,0,0,0,0,0,0,0
CG14567,21,38,0,0,114,5,0,0,439,186,129,195
CG14566,44,55,167,12,37,10,35,29,1652,1048,795,665
CG14572,0,22,4,8,930,6,0,3,12115,5722,2081,5176
CG14565,0,0,0,0,19,0,0,0,0,0,0,0
Syn1,1,0,0,0,69,0,0,0,0,0,0,0
CG14564,0,0,0,0,0,0,0,0,49,41,4,12
lncRNA:CR45957,0,1,0,0,0,0,0,0,0,0,0,0
CG7370,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45958,0,0,0,0,0,0,0,0,0,0,0,0
eg,81,9,254,0,130,74,27,54,0,53,0,0
CG43895,0,0,0,0,0,0,0,0,0,0,0,0
CycH,177,255,456,53,176,126,270,216,205,318,232,129
CG7407,174,173,191,73,242,136,241,99,349,242,161,249
CG7414,12566,10735,22124,5876,20744,13956,10472,12981,28606,22178,34049,24578
CG32448,53,104,294,48,99,45,57,62,49,60,100,98
lncRNA:CR43309,0,0,0,0,0,0,0,3,0,0,7,0
CG7148,203,178,341,125,211,237,315,296,407,303,251,211
Nopp140,330,96,1734,263,792,469,175,816,1678,1084,1462,1026
P5CDh1,189,614,785,460,840,965,145,515,1228,1033,1493,726
CG14563,0,0,0,0,0,0,0,0,0,0,0,0
mub,95,370,1336,186,886,406,606,478,465,178,341,1019
tRNA:Cys-GCA-4-1,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43878,0,2,0,0,0,3,0,0,0,2,0,0
lncRNA:CR45959,0,0,0,0,0,0,0,0,0,0,0,0
SLC22A,0,0,0,0,1,0,0,0,0,0,0,150
DNApol-eta,192,55,1,99,0,35,0,1,156,302,235,298
CG14562,17,55,9,52,66,8,52,28,12,3,157,206
CR7448,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45803,0,0,0,0,0,0,0,0,0,0,0,0
CG7458,0,0,0,0,0,0,0,0,0,0,0,0
CR34262,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45757,0,0,0,0,0,0,0,0,0,0,0,0
Chs2,0,0,0,0,0,0,0,0,0,0,0,0
CG7470,18,3,0,0,20,0,23,45,0,0,37,1580
Act79B,0,0,0,0,0,0,0,0,0,0,0,0
CG7140,0,0,0,0,0,0,0,0,0,0,0,0
CG43392,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44687,0,0,0,0,0,0,0,0,0,0,0,0
Oct-TyrR,25,0,1,0,0,0,0,0,0,0,0,0
CG14561,40,14,668,7,86,50,47,7,100,65,253,138
CG7139,43,295,188,90,66,103,81,71,172,44,136,244
lncRNA:CR43995,115,249,860,122,175,53,242,378,146,42,95,126
CG7133,184,323,840,209,694,313,262,396,742,262,569,511
CG7130,50,23,6,6,24,7,56,0,56,64,81,53
RpLP0,6116,5307,17158,3441,10091,6891,6828,6935,16326,9919,17741,8527
Sfp79B,0,0,0,0,0,0,0,0,0,0,0,0
msopa,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45236,0,0,0,0,0,0,0,0,0,0,0,0
olf413,0,0,0,0,0,29,0,9,6,21,0,0
lncRNA:CR45971,0,9,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45972,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45035,0,0,0,0,0,0,0,0,0,0,0,0
Rich,77,3,0,58,161,64,28,38,231,32,31,240
Ddx1,172,320,670,281,400,455,503,732,375,409,573,581
CG11523,675,601,1251,231,1076,495,678,940,367,506,881,408
Csp,1357,1136,3612,473,2541,1758,1332,999,1103,1067,1548,561
sisRNA:3,0,7,10,1,0,4,10,16,0,0,1,0
Srpk79D,0,0,0,0,0,0,0,0,0,0,0,0
asRNA:CR45960,0,0,0,0,0,0,0,0,0,0,0,0
Hem,255,847,869,182,519,376,214,722,706,1105,324,390
IleRS,288,1074,1321,318,669,521,461,408,1400,1134,650,966
Ten-m,215,351,1048,113,452,279,303,242,151,37,61,140
CG32450,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45963,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45962,0,7,100,41,5,15,16,0,0,87,0,44
lncRNA:CR45964,0,0,0,0,0,0,0,0,0,43,0,4
lncRNA:CR45965,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45237,4,0,0,0,6,1,0,0,0,0,0,6
lncRNA:CR45966,0,0,0,0,0,0,0,0,0,0,0,0
CG11449,0,0,0,0,0,0,0,0,0,0,0,0
laza,0,0,0,0,0,0,0,8,70,0,0,105
CG11438,216,101,735,128,273,294,184,509,635,280,454,549
CG11437,0,0,0,0,0,0,0,0,0,0,6,0
CG11426,0,0,0,0,0,0,0,0,0,0,2,0
lncRNA:CR45382,0,0,0,0,1,0,8,0,0,0,0,0
CG11425,0,0,0,0,0,0,0,0,0,0,0,41
lncRNA:CR45430,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45431,0,0,0,0,0,0,0,0,0,0,0,0
CG43312,0,0,0,0,0,0,0,0,0,0,0,0
CG43331,0,0,0,0,0,0,0,0,0,0,0,0
CG43330,0,0,0,0,0,0,0,0,0,0,0,0
CG43329,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45429,0,0,0,0,0,0,0,0,0,0,0,0
mir-957,0,0,0,0,0,0,0,0,0,0,0,0
CG11404,0,0,0,0,0,0,0,0,0,0,0,0
Trxr-2,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR46348,0,0,0,0,0,0,0,0,0,0,0,0
CG14459,0,0,0,0,0,0,0,0,0,0,0,0
ND-B14.5AL,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45967,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45381,0,0,0,0,0,0,0,0,0,0,0,0
CG33766,0,0,0,0,0,0,0,0,0,0,0,0
CG33767,0,0,0,0,0,0,0,0,0,0,0,0
CG33768,0,0,0,0,0,0,0,0,0,0,0,0
CG33769,0,0,0,0,0,0,0,0,0,0,0,0
CG33770,0,0,0,0,0,0,0,0,0,0,0,0
CG33771,0,0,0,0,0,0,0,0,0,0,0,0
CG33772,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43270,0,0,0,0,0,0,0,0,0,0,0,0
mir-958,0,0,0,0,0,0,0,0,0,0,0,0
CG14457,0,0,0,0,0,0,0,0,0,0,0,0
CG14455,0,0,0,0,0,0,0,0,0,0,18,8
